"agent_id","agent_name","phone","email","office_city","office_name","annual_salary","commission_rate","hire_date","experience_years","city_code"
AGT040_MA,Gamal ElAraby,"1590400611",gamal.elaraby40@realestate.com,Mansoura,Mansoura Main Office,128618.0,0.0370,2021-01-14,12,MA
AGT041_TA,Hoda ElSayed,"1575070099",hoda.elsayed41@realestate.com,Tanta,Tanta Main Office,120745.0,0.0350,2022-02-05,2,TA
AGT042_TA,Salma ElRefaie,"1039347590",salma.elrefaie42@realestate.com,Tanta,Tanta Main Office,114503.0,0.0350,2023-06-23,7,TA
AGT043_TA,Kareem ElShanawy,"1036077871",kareem.elshanawy43@realestate.com,Tanta,Tanta Main Office,91143.0,0.0350,2022-07-26,8,TA
AGT044_TA,Amr Ali,"1129570866",amr.ali44@realestate.com,Tanta,Tanta Main Office,112504.0,0.0350,2024-08-16,11,TA
AGT045_ZA,Mona ElShafie,"1075910353",mona.elshafie45@realestate.com,Zagazig,Zagazig Main Office,129120.0,0.0360,2024-07-06,13,ZA
AGT046_ZA,Khaled Hassan,"1581844956",khaled.hassan46@realestate.com,Zagazig,Zagazig Main Office,135131.0,0.0360,2024-05-10,9,ZA
AGT047_ZA,Dina ElZayat,"1568505019",dina.elzayat47@realestate.com,Zagazig,Zagazig Main Office,129731.0,0.0360,2023-05-03,8,ZA
AGT048_ZA,Yasmine ElAraby,"1149831440",yasmine.elaraby48@realestate.com,Zagazig,Zagazig Main Office,142690.0,0.0360,2023-03-14,15,ZA
AGT049_DA,Tarek ElKady,"1531920494",tarek.elkady49@realestate.com,Damietta,Damietta Main Office,131237.0,0.0390,2023-05-06,11,DA
AGT050_DA,Amr ElSherif,"1077884438",amr.elsherif50@realestate.com,Damietta,Damietta Main Office,131199.0,0.0390,2024-05-14,13,DA
AGT051_DA,Wael Nour,"1198814356",wael.nour51@realestate.com,Damietta,Damietta Main Office,110530.0,0.0390,2024-07-04,8,DA
AGT052_DA,Hesham Hilal,"1072917778",hesham.hilal52@realestate.com,Damietta,Damietta Main Office,85027.0,0.0390,2022-11-07,12,DA
AGT053_IS,Mostafa ElShafie,"1519288563",mostafa.elshafie53@realestate.com,Ismailia,Ismailia Main Office,125013.0,0.0410,2021-08-15,13,IS
AGT054_IS,Hoda ElAraby,"1189497569",hoda.elaraby54@realestate.com,Ismailia,Ismailia Main Office,80256.0,0.0410,2021-03-19,9,IS
AGT055_IS,Lamyaa Saber,"1567463647",lamyaa.saber55@realestate.com,Ismailia,Ismailia Main Office,104157.0,0.0410,2022-10-16,15,IS
AGT056_IS,Amr ElSherif,"1164695535",amr.elsherif56@realestate.com,Ismailia,Ismailia Main Office,126698.0,0.0410,2023-02-14,4,IS
AGT057_PS,Fatma Gomaa,"1284801539",fatma.gomaa57@realestate.com,Port Said,Port Said Main Office,132173.0,0.0430,2024-04-17,7,PS
AGT058_PS,Mahmoud Fouad,"1110529079",mahmoud.fouad58@realestate.com,Port Said,Port Said Main Office,129009.0,0.0430,2021-01-18,11,PS
AGT059_PS,Nour ElKady,"1211024367",nour.elkady59@realestate.com,Port Said,Port Said Main Office,130115.0,0.0430,2024-12-03,8,PS
AGT060_PS,Hanaa ElAraby,"1088375417",hanaa.elaraby60@realestate.com,Port Said,Port Said Main Office,111700.0,0.0430,2022-07-13,12,PS
AGT061_SU,Aya ElSaadi,"1061460019",aya.elsaadi61@realestate.com,Suez,Suez Main Office,130276.0,0.0400,2021-03-12,9,SU
AGT062_SU,Hesham ElSaadi,"1235966183",hesham.elsaadi62@realestate.com,Suez,Suez Main Office,132136.0,0.0400,2024-06-25,12,SU
AGT063_SU,Ali Osman,"1034547868",ali.osman63@realestate.com,Suez,Suez Main Office,83389.0,0.0400,2021-05-16,15,SU
AGT064_SU,Ghada ElSherif,"1087898934",ghada.elsherif64@realestate.com,Suez,Suez Main Office,105929.0,0.0400,2021-01-17,11,SU
AGT065_NC,Amr ElShafie,"1240421335",amr.elshafie65@realestate.com,New Administrative Capital,NAC Main Office,134640.0,0.0480,2022-09-27,8,NC
AGT066_NC,Mariam Abdullah,"1589929488",mariam.abdullah66@realestate.com,New Administrative Capital,NAC Main Office,141433.0,0.0480,2023-02-15,13,NC
AGT067_NC,Nour ElZayat,"1210593357",nour.elzayat67@realestate.com,New Administrative Capital,NAC Main Office,87407.0,0.0480,2024-08-28,11,NC
AGT068_NC,Bassem Fouad,"1580183470",bassem.fouad68@realestate.com,New Administrative Capital,NAC Main Office,102070.0,0.0480,2022-11-11,7,NC
AGT069_SZ,Ali ElKady,"1059806280",ali.elkady69@realestate.com,Sheikh Zayed,Sheikh Zayed Office,143820.0,0.0460,2021-06-08,1,SZ
AGT070_SZ,Sara ElShafie,"1180677353",sara.elshafie70@realestate.com,Sheikh Zayed,Sheikh Zayed Office,119669.0,0.0460,2022-01-15,3,SZ
AGT071_SZ,Yasmine ElRefaie,"1025174113",yasmine.elrefaie71@realestate.com,Sheikh Zayed,Sheikh Zayed Office,82262.0,0.0460,2023-09-02,12,SZ
AGT072_SZ,Wael Hamed,"1578765115",wael.hamed72@realestate.com,Sheikh Zayed,Sheikh Zayed Office,125103.0,0.0460,2024-03-24,2,SZ
AGT073_NO,Ahmed ElSaadi,"1112868664",ahmed.elsaadi73@realestate.com,North Coast,North Coast Office,133551.0,0.0440,2023-07-11,13,NO
AGT074_NO,Khaled Morad,"1521019507",khaled.morad74@realestate.com,North Coast,North Coast Office,120510.0,0.0440,2023-12-26,6,NO
AGT075_NO,Ramy ElMorsy,"1088733685",ramy.elmorsy75@realestate.com,North Coast,North Coast Office,163089.0,0.0440,2021-04-08,5,NO
AGT076_NO,Mahmoud Zahran,"1285861552",mahmoud.zahran76@realestate.com,North Coast,North Coast Office,143152.0,0.0440,2024-01-06,12,NO
AGT077_HU,Ramy Hassan,"1018079586",ramy.hassan77@realestate.com,Hurghada,Hurghada Main Office,131721.0,0.0420,2021-11-22,13,HU
AGT078_HU,Lamyaa Saber,"1545715223",lamyaa.saber78@realestate.com,Hurghada,Hurghada Main Office,119640.0,0.0420,2022-06-02,14,HU
AGT079_HU,Saeed ElZayat,"1147843271",saeed.elzayat79@realestate.com,Hurghada,Hurghada Main Office,130869.0,0.0420,2021-06-06,8,HU
AGT080_HU,Fatma Zahran,"1130982806",fatma.zahran80@realestate.com,Hurghada,Hurghada Main Office,87725.0,0.0420,2021-11-22,12,HU
AGT081_SH,Hoda Osman,"1260769419",hoda.osman81@realestate.com,Sharm El Sheikh,Sharm El Sheikh Main Office,120711.0,0.0470,2022-08-05,15,SH
AGT082_SH,Dina Zahran,"1525884220",dina.zahran82@realestate.com,Sharm El Sheikh,Sharm El Sheikh Main Office,140868.0,0.0470,2022-06-14,3,SH
AGT083_SH,Aya ElSaadi,"1512073425",aya.elsaadi83@realestate.com,Sharm El Sheikh,Sharm El Sheikh Main Office,130624.0,0.0470,2023-03-04,5,SH
AGT084_SH,Saeed ElGharby,"1552496555",saeed.elgharby84@realestate.com,Sharm El Sheikh,Sharm El Sheikh Main Office,134823.0,0.0470,2024-06-16,13,SH
